OBJECTID,GLOBAL,CODE,STATUSOBJECT,JNEXTERN,JNINTERN,JNRVZ,EXTERN_DR_HOOGTE,EXTERN_DR_BREEDTE,INTERN_BERGING_M3,RIOLERINGSGEBIEDID,TYPERGD,GEOMETRY,datakey,metadatakey
76,73FA82BC-895A-4C9A-BB21-E69E85F507F6,SMI-BER-BEE-5,planvorming,ja,nee,ja,4.3500000000000005,4.5,123.0,ff3d05dc-9d26-464b-80d0-9f444c860905  ,Gemengd gerioleerdgebied,POINT (155206.454 409364.643000001 0.0),73FA82BC-895A-4C9A-BB21-E69E85F507F6,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
77,19F80669-6C7E-464C-A9CA-97301D88A314,BOX-GRO-WES-12,planvorming,ja,nee,ja,12.73,3.5,78.0,da068927-d0a7-41e2-b188-ea15b8245884  ,Gemengd gerioleerdgebied,POINT (196879.541999999 402020.719000001 0.0),19F80669-6C7E-464C-A9CA-97301D88A314,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
78,4612E1F5-424A-4B90-BF09-8B0C3BDCB46C,HER-HER-MAV-150,planvorming,ja,nee,nee,2.41,1.0,,d7b8e504-8c57-420f-845f-500710f03308  ,Verbeterd gescheiden stelsel,POINT (148021.285999998 415627.209000001 0.0),4612E1F5-424A-4B90-BF09-8B0C3BDCB46C,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
79,A1901521-B56E-43C3-8A2C-086D52CA86E0,VEG-VEG-VEN-12,planvorming,ja,nee,nee,8.1,1.0,,4ff87103-46ca-4c56-8b36-e996e345491e  ,Verbeterd gescheiden stelsel,POINT (166117.028000001 404614.249000004 0.0),A1901521-B56E-43C3-8A2C-086D52CA86E0,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
80,2A9AC694-8382-4F39-8D8F-67C19BA10B86,CUI-CUI-HWZ-22,planvorming,ja,nee,nee,8.01,5.0,,1810c341-b16f-4c03-8fd5-001276b03e39  ,Gescheiden stelsel,POINT (187578.021000002 416275.567000004 0.0),2A9AC694-8382-4F39-8D8F-67C19BA10B86,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
81,1B3A20BC-B687-4D8D-9826-F46B310D04D1,BOX-VIE-KER-31,planvorming,ja,nee,nee,14.0,4.25,,efdedac1-cdad-4431-98f8-e3f3a4f30b54  ,Gemengd gerioleerdgebied,POINT (199066.370999999 400824.763999998 0.0),1B3A20BC-B687-4D8D-9826-F46B310D04D1,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
82,705BE499-AC29-44B6-BCB7-CEA2AED8587E,HEU-VLI-HOB-61,planvorming,ja,nee,nee,1.9000000000000001,2.5,,5dd41aaa-7ec8-4815-a179-257233b84d85  ,Verbeterd gescheiden stelsel,POINT (141247.228999998 412273.522999999 0.0),705BE499-AC29-44B6-BCB7-CEA2AED8587E,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
577,DC2B45DD-7EE9-4C68-B9DB-F40B329DE167,OSS-OVE-KER-44,planvorming,ja,nee,nee,6.74,2.0,,e22308e8-2704-4ec3-abb9-eb0c6a8a0b01  ,Gemengd gerioleerdgebied,POINT (174397.984000001 421022.534000002 0.0),DC2B45DD-7EE9-4C68-B9DB-F40B329DE167,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
578,38F06089-82B2-430D-BD74-F16D71E094E9,UDE-UDE-HND-24,planvorming,ja,nee,nee,10.63,3.96,,None,Verbeterd gescheiden stelsel,POINT (171012.0 405723.000000003 0.0),38F06089-82B2-430D-BD74-F16D71E094E9,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
579,65F14876-C5A3-4A52-9FBE-65F247E81E43,DEU-LIE-MOO-3,planvorming,ja,nee,nee,28.2,2.0,,67bae07a-adbc-4e82-901a-9a857fd9cf65  ,Verbeterd gescheiden stelsel,POINT (185422.728999998 380955.031 0.0),65F14876-C5A3-4A52-9FBE-65F247E81E43,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
580,6F322B32-805B-4721-AE01-75F264587154,VEG-VEG-VEN-03,planvorming,None,None,None,,,,4ff87103-46ca-4c56-8b36-e996e345491e  ,None,POINT (166515.699999999 404425.329999997 0.0),6F322B32-805B-4721-AE01-75F264587154,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
581,2D8C8F6F-D732-4544-90C8-8B57BFA0B839,CUI-CUI-BEI-1,planvorming,ja,nee,ja,9.6,10.0,1800.0,c6898a23-1c29-4897-b33d-1eecca895fe8  ,Gemengd gerioleerdgebied,POINT (187995.772 415030.719000001 0.0),2D8C8F6F-D732-4544-90C8-8B57BFA0B839,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
582,9C47EAC2-9FE2-4E0B-80B7-3EE581A6AA4A,HER-EMP-NOO-16,planvorming,ja,nee,nee,2.6,1.0,,7be3d52e-19ae-4b2a-9360-f72f6e7d4c8b  ,Verbeterd gescheiden stelsel,POINT (150097.32 415847.827000002 0.0),9C47EAC2-9FE2-4E0B-80B7-3EE581A6AA4A,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
