index,hydroobject_CODE,endpoint_hydroobject_CODE
1934,2612820,01130
1936,1171600,01133
1938,01296,01077
1939,00677,01077
1941,2112240,2114210
1943,1049140,1049060
1944,1049150,1049060
1946,1049130,1049120
1948,1049190,1049180
1950,1049250,1049240
1952,1049230,1049220
1954,1049280,1049270
1955,1049060,1049050
1958,1049090,1049130
1959,1049100,1049130
1961,1049230,1049190
1962,1049250,1049190
1963,1049280,1049190
1964,1049170,1049190
1965,1049200,1049190
1966,1049220,1049210
1969,1082620,01754
1971,1184305,1184303
1972,1184304,1184303
1974,1041600,01706
1976,1080450,01792
1978,01166,01859
1980,2870920,01826
1982,2613250,02551
1984,02915,02542
1985,01522,02542
1988,2940590,02531
1991,2170320,02534
1992,01927,02534
1994,02245,02516
1995,2043380,02516
1997,06046,02545
1999,00800,02527
2001,1181490,02518
2004,1140530,01957
2006,01901,01982
2009,1142470,01937
2011,02105,01955
2013,1041560,01971
2016,2560230,2560130
2017,2560225,2560130
2019,2612322,2612330
2020,2612340,2612330
2022,2170470,2170460
2024,2171470,2171460
2025,2171471,2171460
2027,1130600,1130590
2029,1130550,1130545
2031,1130580,1130575
2032,1130860,1130575
2033,1130578,1130575
2034,1130575,1130570
2037,1034570,1038940
2038,1034580,1038940
2039,2940220,2940300
2041,2940310,2940300
2043,2113051,00589
2045,02012,00590
2047,2343190,00586
2049,01324,00587
2051,2171486,2171480
2052,2171485,2171480
2054,2171500,2171490
2056,2112325,2112322
2057,2112323,2112322
2059,2042930,2042920
2061,2250040,2011070
2062,2011080,2011070
2064,2010935,2010930
2065,2343700,2010930
2067,06022,00588
2068,00467,00588
2070,1036300,00591
2072,01178,00592
2075,1046135,1046130
2077,1044590,1048001
2079,1014940,1015215
2080,1015220,1015215
2082,2613160,2613150
2084,05066,03160
2086,2041300,05539
2088,00182,05542
2090,2270755,05560
2092,2530128,2530125
2093,2530127,2530125
2095,2343465,2343460
2097,2113400,2113250
2098,2113390,2113250
2100,2113790,2113780
2102,2040020,2040017
2104,2043600,00596
2106,1183910,00853
2108,2041750,00854
2110,2510540,00856
2113,1183660,00859
2115,03108,00860
2116,2042250,00861
2118,04757,00861
2120,1043180,00862
2122,1046290,00863
2124,1184341,00865
2126,1041460,00872
2129,03651,00867
2130,01917,00867
2132,1142530,00874
2134,2800370,00875
2136,1180150,00869
2137,2113310,00870
2139,2113290,00870
2141,00896,00871
2142,2800310,00871
2146,1041460,00880
2148,2530810,00881
2150,2870020,00882
2152,00362,00883
2154,2870360,2870350
2156,2751230,2612469
2158,2510650,2510640
2160,2342960,2342930
2161,2342935,2342930
2163,2270400,2270390
2165,02411,2170680
2166,2170690,2170680
2167,2170700,2170680
2169,2171010,2171085
2170,2171090,2171085
2172,2110600,2110830
2173,2110840,2110830
2175,2113030,2113020
2176,2113010,2113020
2178,2041820,2041920
2179,2041930,2041920
2181,2043680,2043670
2183,2031530,2031470
2184,2031520,2031470
2185,2031531,2031470
2187,1055930,1055920
2189,1057670,1057650
2191,1043370,1043350
2192,1043380,1043350
2194,1014120,1014110
2195,1014060,1014110
2197,1042685,00891
2199,1034514,00892
2201,02742,00893
2203,2040710,00894
2205,1036040,00897
2207,2340820,00898
2209,03534,00899
2211,02515,00900
2213,03381,00901
2215,03673,00902
2217,3200170,3200160
2219,2010220,2820010
2220,2010230,2820010
2222,2750720,2750710
2224,1033520,1033510
2225,2920150,2920160
2227,2920165,2920160
2229,2760030,2760020
2231,2800530,2800520
2233,2870340,2870320
2234,2870330,2870320
2236,2342320,2342300
2237,2342310,2342300
2239,2342270,2342320
2240,2342330,2342320
2241,2342930,2342920
2243,1034540,00412
2246,2042860,00414
2248,1082000,00409
2250,2042900,00405
2252,2031520,00417
2254,1130890,1130880
2255,1130902,1130880
2256,1130880,1130560
2258,1130890,1130560
